gd_id,description
e0100020170208082551,陪春他们家人旺中大叫受理怎么您这是一个水晶我看看就说说给给给他你说你说也好可以还还有这个工就是卖服务密码也是耳东路的一个是那那个意思然后我给发过来这行吧行好好好就买过那个顺的一个三百也是那种我给买号的工陶峰人民联系来呃也是刚怀璐唉对移动公司吗应该要连接吗南边事儿公分两百功能不好的还是需要一个工作日生风功能吗括弧写个诶这个是干嘛的ok八月份的时候再问哎咱们这个川二千彩虹路三百k对吗这个我一样是吗应该有哎就是推辞哎对是的哦我我中国不是很好啊他说他就是看看也他就是说是一个什么而且然异常然后桥路那个圣村哦的那就哦好对六六运作运的六也这个是什么时间办的他说也是突然经理呢环城南变了呃因为什么人民的连接老头儿清尔多肯定能弄完或者丰满的我今天在的时候可以把这封开通成功ssac春节是快速导航吗带的有因此来退也qxroip点呃连长以后不准嗯嗯但是高手我请说病了葡萄板车销售部营业厅应该是呃可是好的人民要补全说到玩去啊我应该名字的掀起来村现在没生效puk哎手机号码不知道参加了呃国明白口口买号随便高敏就是专门重复一下幺八七抱歉而且而且我朋友去跑解释哎那个钱肯定扣就怕你们的结果要不去没可以帮您催办一下啊开呃欧文的哎我就搞啊我就是所以说青岛哎喂号不穿说的旺去咱们这边确认啊啊刚才我看餐是吧转接ok现在怕骚扰按零好好嗯厚道赔十嗯所以我要么直接派单就可以哦恩恩爱产生的是哪个都可以打哪一些可能忘记了好像赔啊好的
e0100020170208114037,陪春那边标准王大报大交涉零好了他老家是一个地方水厅和城南局所以海ip刚才卖wifi它喂再看看嗯没完三幺六我隔天wifi他所这个呢呀人民这我还派所说的那么一个外来他说我的gprs呃给开怎么写也没有有在百米刚才一我告诉你哎不是这样那就拿可能麻烦你了啊喂哦哦就是说歌曲的他说这个位置呢器材不对应万信考试的歪了派出所或者三十八元二十四小时收嗯零嗯对佳就是应该是哪个字边一天劫机者应该去哪去号报出来哎我还有退出传说到南区的他肯定扣就怕他们的wifi随便药品ok挺好的嗯区当铺啊就开始赔付他私聊和iphok刚刚嗯s产生的是前两天可以打哪一些平常玩具好的
e0100020170208132815,啊回春那么家人旺费哦大众销售然后呢看到这些地方自己听我昨天来积分于啊他们所以那个我这是在在其他海盐喂刚才复印证的那我来非得区的有什么危险这个确实呢呃买了有引起的小强能不能一二是五百四十号是湾优那你呃就是一直在长那么下来开机耳机买的推进并开机玩喜龙南坊催南嗯cc嗯拨管吗能有哎推复兴中路幺二十五号吗幺幺零流量包工呃买这就说嘛他挺应该是应该是inaskid就是比我停的朋友问那三十个是闺查是流水声参数的最后一个箱子呃我叫上飞起来啊教程应该是确认是吧不知道吗下一点呃杰陪们车子可能要收收给我品有没有讯的呃有查出一下接电话希望你们头痛呃哎我还可以去传所以完全完全肯定扣就怕去两条开嗯已经是显示的给我呀结果还要赔去六s的肯定清哦现在还没是一条培育走完起来我穿梭打完去远登记的是f盘说的是哪个珀塞那一些呢湾湾区阿飞穿是的赔付开始医疗费哎配一下六而且也有好的本金现在维修家
e0100220170207091641,尊敬的星级客户您好七八一一话务员为您服务您好工号很高兴为您服务可以帮您哎你好到我这边这个网络没没网络怎么回事不好意思给你添麻烦了先生请问一下您的网络号码能告诉我一下吗或者电话之类的也行哦三六三八三六幺六六幺三八三六幺六请稍等一下先生人民是的这边的话把您这个牡丹重新启动一下试试看呢嗯试过了已经试过了是吧那这边的话您稍等一下我不要挂机我现在为您转接一下我们的维修部还是显示不做一下检查如果转接但是的话您可以通过九六九幺幺二直接报修或者平时关注微信平台自助报障也行
e0100220170207101747,尊敬的星级客户您好七八一一话务员为您服务哎您好很高兴为您服务可以帮您哎你好帮我这个能查一下就是宽带嗯问题吗嗯嗯不好意思这边看到您宽带号码宽带号码我因为这个宽带交了好几年了不知道嗯有没有联系电话之类的呢零区电话那个联那个联系电话有没有连接电话连接电话我这边只看到一个账号单号账号账号是那个行啊对十五的好的那您说一下us工哦都没生意也是电信的私人宽带吗啊对对这个私人宽带的话我们的宽带的一个账号的话前面是两个英文字母后位八位阿拉伯数字或者是十一位是阿拉伯数字呃十一位按了投诉的就是上网口令吗对刚刚口令一般是什么什么密码请问一下您的宽带是谁的名字登记的嗯谁的名字啊呃我这个也忘记了如果什么都没有的话我就帮不了您查啊先生你帮我查一下那个我把他那个号码给你帮我查一下吧请说再见你稍等一下我问一下我想问一下哎完整就是我们隔壁的宽带的话是当时是一年明白那个公司名称用的什么地址谢谢大概他们是吧哎您请说哎你帮我查一下就是上次那个公司的名称是叫那个上海刚才那五块钱有限公司不好意思这边的话我这边公司这个没有办法光给我名称我无法查的先生嗯那你是要什么这边的话如果您这边的话有没有这边其他的信息比如说您给我公司名称的话有没有公司他当时登记的话是以什么证件登记的证件号码证件号码事我都忘记了对那这样吧您不要挂机我这边我帮您转接一下我们的报障平台的话具体的情况的话要不要和报修平台您要查一下嗯嗯好好就是这边的话您宽带的话这边无法正常使用是吗嗯对对您稍等不要挂机转接热线的话您可以通过九六九幺幺二这是我们维修部门的直拨电话或者微信平台保障但具体是否能帮助到您的话还是有实际这边查的为准请您稍等就我就想出了解你们一般的话就是这个初始密码的话一般是按怎么走了不好意思我这边的话无法给您这边的话更多的一个建议的先生我这边的话没什么初始密码您宽带之类的如果您要查有宽带的一些信息的比如说我现在跟您说的宽带的一个名字他的地址他登记使用的证件号码嗯嗯好好好好好要不您这样您先确定一下吧嗯
e0100220170208141326,尊敬的星级客户您好七一三七话务员为您服务最好工号三七六是这样的我现在还有没有那个宽带宽带还是有问题你们能不能叫过来嗯嗯这个宽带什么看看有点问题呃关键什么问题为什么呢啊我问一下请问宽带地址是在哪里为什么没有给我八位手机号三月一号那这样给您带来不便非常抱歉了您的问题的话我帮您转接到我们报修台请问您是在麻烦您拨打九六九幺幺二同时您也可以关注我们微信客服额进支付宝装电话不要挂我帮您转接嗯好的谢谢你干嘛
e0100220170208165103,尊敬的星级客户您好亲一般话务员为您服务您好工号六二三七很高兴为您服务哎你好我我这边是那个就是在那个景路交多少交通路上面一个叫喜来西路的就是我们现在是在那个你们那边给我们修网络然后他那个用户名和密码先给我给我以后我弄丢了现在想问一下那个用户名密码哦就是宽带上网账号和密码对吧哦就那个热线那个什么地方吗这个具体的那个路由器的这个话您现在在家里吗啊我现在不是我们这是店里面那无线路由器您现在那个机顶盒找呃那个盒子找到吗就这这个我找不到呀他他是帮您装在哪里的不能帮我刚才就是大概在哪上面那叫什么那麻烦你要你要不爬上去看一下吧因为无线路由器的帐号和密码就在无线路由器后面对这个我这我知道的但是好像是他他上次修了以后是帮我们改过了你知道吧账号这个不会改的呀他是谁七账号的话就是机顶盒就在机顶盒后面一般是您搜索的时候直接能搜索到账号的不需要您手术的那怎么办他上次帮我他说他帮我弄过来写那个地方写了一个密码之类谢谢再见被保险那当时选择账号就可以当地买的名字那要不这样吧我帮您转接到我们报修才建议您问一下他们呃您是吧麻烦您拨打九六九幺幺对吧好对对是谢谢不知道您好小姐你说挺你好哎你好呃我我可以帮你就是我把我们需要的那些告诉你这个没有因为这个密码我这里看不到的对你可以帮我找到那个那个报修就是那个机器的话嗯抱歉这个我这里是找不到的不是那行吧那你这样子吧你查我们这个店里面那个宽带的那个账户密码就是这种应该能查得到啊这也查不到的因为这个密码的话他是你简单来说就是人边的不是我们这里能看得到的不是它上次我们那个报修的时候他那个就是我把我信息的那个人他是打电话过去问那因为我这不是维修台所以如果您要查的话要不我帮您转接到维修台您问他问下他们就是上一次报修的时候不是有钱一个单子的那个话费没人所致明白没有我这里是一万号咨询他不是报修台所以有些问题我们这里是没法帮您处理的我可以帮您转接到报修台您去问他们啊对呀那就您是办麻烦您拨打九六九幺幺通知您可以关注微信客服进行自动到账电话不要挂我帮您转接
e0100320170207101817,尊敬的星级客户您好七一一八话务员为您服务您好工号三幺七八很高兴为您服务请问有什么可以帮您你看一下我这个啊这个这个这个这个这个网这个网线都不行啊哦您是说家里宽带网络无法连接还是什么呢啊无法连接家里电话号码或宽带号码报一下我帮您查一下六七七九零五四三好的就是和这个座机捆绑的宽带网络无法使用对吗对呀那这里给您造成不便表示歉意我帮您转我们的故障报修部门您不要挂机转接不成功可以拨打九六九幺幺二今后也可以关注微信客服进行自助报修请您稍等为您转接
e0100320170207105051,尊敬的星级客户您好金鹰七八话务员为您服务您好工号四幺七八很高兴为您服务请问有什么可以帮您问一下两个事情啊一个是说我刚才打电话进来说我就想那个那个账单有没有那个付啊额您号码报一下我帮您看一下呃五二七二幺六六七多少五二七二幺六六七额登记姓名叫什么名字是啊喂稍等一下请不要挂机稍等一下啊我看了一下的确有欠费您不要挂机我这个不是支付宝自动扣的话怎么会欠费了因为我们好像办的啊稍等一下我看了一下一月份和两月十二月份的账单没有支付然后的话我现在系统看了一下这个账单的话是那个现金支付的呀每个月支付宝划算吗我现在系统里面看了一下没有显示支付宝你帮我查一下就是那个支付宝付的你看十一月份是通过支付宝您稍等我哦我只能看到系统里面显示是十一月二十九号那个系统显示是那个电信统一支付平台但是否是支付宝我这里没有办法看到而且的话这个那我现在怎么出来我现在在网上网上可以直接支付登录我们的官方网站sh点幺八九点c或者呢是关注中国电信上海客服或者上海网厅微信公众号直接可以支付或者还可以直接往这个手机里面充值当然也可以支付现在总共多少金额你跟我说一下啊我帮您看了一下十二月份还有那个一月份您稍等一下拜拜恩好的我看一下本金的话是四百三十六元然后的话滞纳金的话是二十块七毛总共是四百五十七块三毛怎么滞纳金的我们这个账单也没收到了怎么还有其他金卡账单逾期未支付肯定会有滞纳金呀您账单地址是投递到哪里了呢没有收到过你的上海呀您账单地址先跟我说一下我先看一下账单地址是否准确长宁路一八一八弄对二十六号三零二是的我看了一下这个纸质账单每个月都有正常帮您头的呀没收到啊还是怎么搞的那这里的话违约金问题我们可以帮您反馈到后台做一个减免调整的话要到时候在这个开通了这么多手机手机呀电信也是这么多我这个东西都都有一个对吧足够的时候就旺了也不是主管恶意欠费对不对你这个动不动就违约金你们这个也太不人性化那先生账单逾期未支付那肯定会有收取滞纳金的并不是说您办了这个我们也不知道我也没收到通知没有不可能故意来的这个钱吗对不对那先生所以我刚刚已经跟您解释了这个违约金我们可以帮您上报上去做一个减免一般的话调整的话是二十四小时内调整完毕建议您调整以后尽快把本金做一个支付那你帮我申请来调整吗可以那我这里就帮您上报到后台还有其他要咨询的吗那我现在总共要不多少钱如果违约金减免掉的话本金的话是四百三十六元四百三十六你帮我调整掉吧你看我这个问题呢啊那我刚刚已经跟您解释还有一个是有的时候会旺了因为你也知道现在日账单有时候信箱里面一个不太看到有的时候有的时候应该是投递收没收到也有这种可能对不对因为我们现在这个东西因为在里边是太多了开网店电话什么的有人搞不清楚我还有一个地方一个宽带现在也不通了是同一个户名的吗哎您这个号码报一下我帮您查一下长溪路打电话是吧六九九二五八五幺六九九二五八五幺嗯然后的话您说的是什么不通还是什么那网络不通吗现在我也不知道这个是欠费的呢还是说我有故障呢我这边稍等一下我先看一下你帮我查一下这个是我看了一下的确是有一张欠费一月份的账单没有付但是的话并没有那个叫什么现在做停机所以的话您现在应该是那个网络故障如果要报修的话我们电话里面可以帮您报修转故障报修平台喂先生有听到我说话吗听到了我说了有一张的确是一月份的年付账单没有支付但现在系统里面显示并没有停机如果您现在宽带不能使用可以帮您转我们的故障报修平台到时候的话让工作人员上门帮您看一下具体是什么原因我这样我刚才已经打过多少啊嗯嗯他他说他重新刷新一下让我五到十分钟以后开机我现在已经差不多五到十分钟了我再开看一下如果不行的话你就让他上门来帮我查好不好这个的话打断一下啊还有多多少钱在哪里付这个网上我刚刚已经跟您说了可以直接支付您刷新一下如果还是不行的话您打九六九幺幺二直接进行一个报修九龙镇对这个就是故障报修电话宽带的你你你这能转吗如果您要转的话我可以帮您直接转您现在需要转接吗先生您现在需要转接吗哎你这个我现在上面我要不管多少钱呢就是十月份的这个年付账呢我看了一下这个的话本金的话是一千七百四十九现在也有一个违约金您账单的分账序号或登记人的身份证号码报一下我帮您违约金上报上去做一个减免哎我还需要我比如是因为过年了我看不到我又不知道上班以后就直接查都旺了那您账单的分账序号或登记人的身份证号码报一下我帮您为三零嗯嗯一九六八七二幺五幺四您不要挂机稍等一下那这个违约金的话我们帮您上报到后台做一个调整一般的话呢是二十四小时内调整完毕调整好了建议您尽快把本金做一个支付多少钱一千七百四十九一千七百四十九元反正好像是这个套餐还是跟以前的内容一样的是吧对套餐内容不变幺七四好吧是的啊它里头有再说简单介绍一下还是套餐的情况时间长了就就搞不清稍等一下您那个地址跟我核对一下那个一千七百四十九元的那个宽带安装地址记录六百五十弄六百五十号一一一二一号楼幺二七稍等一下嗯先稍等一下系统有点慢拿这个网还是不行啊那待会我帮您转故障报修您先稍等比如说我是疯了没有并没有欠费转账那个哦这里我帮您看了一下您是一个手机和宽带还有固定电话捆绑的套餐套餐里面的话是送您六百分钟的国内通话时长然后的话手机每个月的话是送您一百兆的那个国内流量还有六十条短信超过那个叫什么呃六百分钟以后拨打国内电话呢是一毛五一分钟手机呢是国内接听免费和家里的座机呢本地互打免费那个这个电话是多少的您稍等我看一下您现在带宽是多少请不要挂机稍等一下再见帮我看了一下您现在网速呢是五十兆不过呢我们根据网银计划的话嗯十年以上的老用户年以上可以在资费不变的情况下免费申诉到一百兆现在是一百兆啊现在是五十兆不过的话可以在资费不变的情况下免费申诉到一百兆总之电话里面可以办理但是因为您现在有欠费建议您欠费付掉以后直接打我们一万号我们电话里面帮您做一个提速电费除掉以后打我们一万号然后的话我对我们直接帮您做一个提速然后的话如果家里的猫呢支持百兆的话二十四小时以后您把家里的那个猫关了重启一下就可以了自动会升速到百兆还有一种情况就是可能毛病不支持百兆如果不支持百兆呢我们系统会做一个自动判别到时候的话会有工作人员跟您联系上门帮您换一个猫再进行调试如果需要师傅上门的话请您准备好机主的身份证复印件和原县复印件呢我们师傅要收走原件要看一下本人不在还要准备好代办人的身份证复印件和原件四是吧什么准备我的身份证银联对如果要换猫的话那就准备好机主的身份证复印件和原件本人不在准备好代办人的身份证复印件和原件如果支持百兆那就不需要上门那您也就不需要准备相关这些这个我还有行没有问题啊那这里的话我帮您待会转给我们的故障报修部门啊他就是先生您现在这张卡打过来的这张卡我目前看了一下是三g卡我们现在有个免费换四g卡的活动不知道您目前有没有兴趣参加呢怎么返厂就是您现在打过来这张卡是个三g卡我们现在手机呢是可以免费换四g卡您手机是三g手机呢还是四g手机呢三哦那您以后如果有需求换四g手机以后可以打我们电话来免费换四g卡那您不要挂机我帮您转我们的故障报修部门转接不成功可以拨打九六九幺幺二今后也可以关注微信客服进行自助报修请稍等
e0100320170207120130,尊敬的星级客户您好七一七八话务员为您服务您好工号七三八很高兴为您服务请问有什么可以帮您哎你好是这样子那个可以帮我查一下那个宽带的一个拨号账号可以麻烦您额您有没有和电信手机或座机捆绑麻烦报一下座机号码三五六五三嗯嗯幺二幺九额姓名和安装地址先问问然后推广那个幺幺八八弄八十四号要不一下好的您的上网账号小a的七五七七七六四七七我去七六四g就是普通的那个今天晚上的账号嗯今天网的账号就是那个小一点然后您稍等我帮您看一下请不要挂机哎好谢谢对听喂嗯那多少请问一下谢谢啊是吧您好对不客气再见哦就是您原普通账号后面加上艾特bip一好现在现在暂时这边没有办法拨号直接就是用户名密码做登录密码的话是否准确呢当时是啊vip哎对vip去掉就可以拨号的哎然后那个这个现象是前天晚上八点半之后查什么哦那您有报修过吗之前呃数字那边查不出问题所以我我现在我现在也不清楚该该找谁处理这件事情因为真是装机我再查一下今天我的账号但是你帮我看看好吧对啊取消了之后是一样的您稍等一下暂时不在您这里是吗啊没有我在我在公司我在其他地方刚刚我跟什么电话多少吗这是我之前已经有报修过记录了是吗对有报修记录您稍等一下我帮您看一下请不要挂机因为是不跟我说他报上去之后上面把他就打回来了所以他也不是他现在没有办法去解决好您稍等一下啊哎没问题嗯先生不好意思让您久等了您这个问题那我们帮您上报投诉流程然后的话会做一个尽快核实什么原因导致不能上网最晚的话两天内给您回复会帮您备注一下加急投诉的话不是投诉支付吧哦这里的话我只能说我帮您写上去肯定是投诉那个维修的那个质量呃但是我们这个惠中路我们不上去我不并不想去投诉支付不该因为初步确实在这个问题上申请那个比较电线我明白您的意思我会帮您那个反馈上去用户表示不是要求投诉师傅但是的话具体他们怎么判别我这里没有办法核实对那那个他是不是给我来电那个他想帮我再确认一下就是普通的密码说还是这样的一个密码是否一致一样普通的密码就是那个叫什么呃国际金融网的密码是一致的对呀那那就是请问一下这个很奇怪因为他那个前天晚上八点之前都可以而且那个后台查说都有登录成功记录但是今天晚上八点半之后我再怎么都不不上去我明白您的意思这里的话我帮您反馈到后台然后的话您最主要是要解决问题不是要投诉维修人员会帮您备注可以没问题号好好嗯那您这里的话联系方式麻烦您留一个幺八零幺六六嗯嗯三八七七就这个本机对吗联系人就是任先生是吗的那种可以那我这里会帮您反馈到后台尽快让他们做一个处理没问题谢谢你不客气没有其他问题欢迎关注微信客服稍后对我服务做出评价再见再见
e0100320170208145116,尊敬的星级客户您好七一一八话务员证明您服务您好工号七三八很高兴为您服务请问有什么可以帮您哎你好麻烦你哎我这边就是有一个网络就几天都用不了了我也不知道是到期了还是欠费了我也搞不懂您号码报一下宽带号码知道吗号码知道的您报一下我看一下呃七七零五七七零五八八三三八八三三额登记姓名叫什么名字但是姓名呀嗯嗯但是呢我还是旺去了你看一下是哪一个我也不知道三六零五三六零五二幺你帮我查一下一定要这个吗这个地址是哪里您报一下我看一下那个地址是北二路嗯嗯呃幺七六五弄恩十一号四零零我系统看了一下状态是正常的您现在的话是不能够正常使用吗哎对要么我这里的话帮您转我们的故障报修部门您不要挂机转接不成功的话可以拨打九六九幺幺二今后也可以关注微信客服进行自助报修请您稍等为您转接哦你这边显示正常的对系统显示状态是正常的哦哦那我帮您转我们的故障报修部门您不要挂机请稍等好的行谢谢
